flight_number,airport_code,departure_arrival_time_local,terminal,aircraft_model,airline_name,type,scheduled_datetime_flight,flight_status,gate_status,GateNumber
SV 1737,BHH,2024-08-26T08:55:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-26T05:55:00.0000000+00:00,Unknown,Closed,102A
SV 1025,JED,2024-08-26T09:00:00.0000000+03:00,5,Boeing 777-300,Saudi Arabian,Departure,2024-08-26T06:00:00.0000000+00:00,Unknown,Closed,107A
SV 179,FRA,2024-08-26T09:05:00.0000000+03:00,4,Airbus A320,Saudi Arabian,Departure,2024-08-26T06:05:00.0000000+00:00,Departed,Closed,109A
SV 239,GVA,2024-08-26T09:05:00.0000000+03:00,4,Airbus A320,Saudi Arabian,Departure,2024-08-26T06:05:00.0000000+00:00,Departed,Closed,101A
G9 152,SHJ,2024-08-26T09:10:00.0000000+03:00,1,Airbus A320,Air Arabia,Departure,2024-08-26T06:10:00.0000000+00:00,Unknown,Closed,104A
SV 121,LHR,2024-08-26T09:15:00.0000000+03:00,4,Boeing 777,Saudi Arabian,Departure,2024-08-26T06:15:00.0000000+00:00,Departed,Closed,109A
SV 235,ZRH,2024-08-26T09:25:00.0000000+03:00,4,Airbus A320,Saudi Arabian,Departure,2024-08-26T06:25:00.0000000+00:00,Departed,Closed,102A
6E 74,BOM,2024-08-26T09:40:00.0000000+03:00,2,Airbus A320 NEO,IndiGo,Departure,2024-08-26T06:40:00.0000000+00:00,Unknown,Closed,109A
F3 15,AHB,2024-08-26T09:45:00.0000000+03:00,5,Airbus A320,flyadeal,Departure,2024-08-26T06:45:00.0000000+00:00,Unknown,Closed,106A
XY 17,JED,2024-08-26T09:50:00.0000000+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-26T06:50:00.0000000+00:00,Unknown,Closed,105A
F3 115,JED,2024-08-26T10:00:00.0000000+03:00,5,Airbus A320,flyadeal,Departure,2024-08-26T07:00:00.0000000+00:00,Unknown,Closed,106A
XY 139,ABT,2024-08-26T10:05:00.0000000+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-26T07:05:00.0000000+00:00,Unknown,Closed,105A
EY 358,AUH,2024-08-26T10:05:00.0000000+03:00,3,Airbus A320,Etihad Airways,Departure,2024-08-26T07:05:00.0000000+00:00,Unknown,Closed,101A
SV 1669,AHB,2024-08-26T10:10:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-26T07:10:00.0000000+00:00,Unknown,Closed,106A
SV 263,IST,2024-08-26T10:30:00.0000000+03:00,4,Airbus A330,Saudi Arabian,Departure,2024-08-26T07:30:00.0000000+00:00,Departed,Closed,106A
SV 1029,JED,2024-08-26T11:00:00.0000000+03:00,5,Airbus A330,Saudi Arabian,Departure,2024-08-26T08:00:00.0000000+00:00,Unknown,Closed,102A
SV 1865,EAM,2024-08-26T11:05:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-26T08:05:00.0000000+00:00,Unknown,Closed,106A
SV 774,COK,2024-08-26T11:10:00.0000000+03:00,4,Airbus A330,Saudi Arabian,Departure,2024-08-26T08:10:00.0000000+00:00,Unknown,Closed,104A
F3 119,JED,2024-08-26T11:25:00.0000000+03:00,5,Airbus A320,flyadeal,Departure,2024-08-26T08:25:00.0000000+00:00,Unknown,Closed,108A
SV 558,DXB,2024-08-26T11:30:00.0000000+03:00,4,Airbus A320,Saudi Arabian,Departure,2024-08-26T08:30:00.0000000+00:00,Unknown,Closed,106A
F3 17,AHB,2024-08-26T11:45:00.0000000+03:00,5,Airbus A320,flyadeal,Departure,2024-08-26T08:45:00.0000000+00:00,Unknown,Closed,105A
SV 417,CAI,2024-08-26T11:50:00.0000000+03:00,4,Airbus A330,Saudi Arabian,Departure,2024-08-26T08:50:00.0000000+00:00,Unknown,Closed,103A
F3 607,CAI,2024-08-26T12:00:00.0000000+03:00,3,Airbus A320,flyadeal,Departure,2024-08-26T09:00:00.0000000+00:00,Departed,Closed,101A
XY 267,CAI,2024-08-26T12:00:00.0000000+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-26T09:00:00.0000000+00:00,Departed,Closed,106A
SV 1031,JED,2024-08-26T12:00:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-26T09:00:00.0000000+00:00,Unknown,Closed,108A
