flight_number,airport_code,departure/arrival_time_local,terminal,aircraft_model,airline_name,type,scheduled_datetime_flight,flight_status,gate_status
SV 110,LHR,2024-08-14 18:55+03:00,4.0,Boeing 777-300,Saudi Arabian,Arrival,2024-08-14 09:10:00+00:00,Expected,Closed
SV 1526,TUU,2024-08-14 19:05+03:00,5.0,Airbus A321,Saudi Arabian,Arrival,2024-08-14 14:00:00+00:00,Unknown,Closed
SV 555,DXB,2024-08-14 19:20+03:00,4.0,Airbus A330,Saudi Arabian,Arrival,2024-08-14 14:15:00+00:00,Unknown,Closed
F3 20,AHB,2024-08-14 19:20+03:00,5.0,Airbus A320,flyadeal,Arrival,2024-08-14 14:40:00+00:00,Unknown,Closed
SV 1508,RAH,2024-08-14 19:25+03:00,5.0,Airbus A321,Saudi Arabian,Arrival,2024-08-14 15:00:00+00:00,Unknown,Closed
F3 148,JED,2024-08-14 19:45+03:00,5.0,Airbus A320,flyadeal,Arrival,2024-08-14 15:05:00+00:00,Unknown,Closed
SV 1926,WAE,2024-08-14 19:50+03:00,5.0,Airbus A321,Saudi Arabian,Arrival,2024-08-14 15:35:00+00:00,Unknown,Closed
SV 1042,JED,2024-08-14 19:50+03:00,5.0,Boeing 777-300,Saudi Arabian,Arrival,2024-08-14 15:00:00+00:00,Unknown,Closed
SV 1023,JED,2024-08-15 08:00+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-15 05:00:00+00:00,Unknown,Closed
F3 205,TUU,2024-08-15 08:05+03:00,5.0,Airbus A320,flyadeal,Departure,2024-08-15 05:05:00+00:00,Unknown,Closed
XY 93,MED,2024-08-15 08:10+03:00,5.0,Airbus A320 NEO,flynas,Departure,2024-08-15 05:10:00+00:00,Departed,Closed
XY 391,AYT,2024-08-15 08:15+03:00,3.0,Airbus A320 NEO,flynas,Departure,2024-08-15 05:15:00+00:00,Departed,Closed
SV 512,KWI,2024-08-15 08:35+03:00,4.0,Airbus A320,Saudi Arabian,Departure,2024-08-15 05:35:00+00:00,Unknown,Closed
XY 13,JED,2024-08-15 08:40+03:00,5.0,Airbus A320 NEO,flynas,Departure,2024-08-15 05:40:00+00:00,Unknown,Closed
F3 505,DXB,2024-08-15 08:50+03:00,3.0,Airbus A320,flyadeal,Departure,2024-08-15 05:50:00+00:00,Unknown,Closed
SV 1533,TUU,2024-08-15 08:55+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-15 05:55:00+00:00,Unknown,Closed
SV 1025,JED,2024-08-15 09:00+03:00,5.0,Airbus A330,Saudi Arabian,Departure,2024-08-15 06:00:00+00:00,Unknown,Closed
G9 152,SHJ,2024-08-15 09:10+03:00,1.0,Airbus A320,Air Arabia,Departure,2024-08-15 06:10:00+00:00,Unknown,Closed
